wavelength_um,rsr_watts,spectra_type,,,,
5.3729999E-01,9.2445582E-02,lawn_grass,,,,
5.3929996E-01,9.3855806E-02,lawn_grass,,,,
5.413E-01,9.4136268E-02,lawn_grass,,,,
5.4330003E-01,9.482637E-02,lawn_grass,,,,
5.4530001E-01,9.5046051E-02,lawn_grass,,,,
5.4730004E-01,9.6055262E-02,lawn_grass,,,,
5.4930001E-01,9.6918613E-02,lawn_grass,,,,
5.5129999E-01,9.7290933E-02,lawn_grass,,,,
5.5330002E-01,9.6783884E-02,lawn_grass,,,,
5.553E-01,9.6960701E-02,lawn_grass,,,,
5.5730003E-01,9.6113801E-02,lawn_grass,,,,
5.5930001E-01,9.4941542E-02,lawn_grass,,,,
5.6129998E-01,9.4946675E-02,lawn_grass,,,,
5.6330001E-01,9.2795998E-02,lawn_grass,,,,
5.6529999E-01,9.0924263E-02,lawn_grass,,,,
5.6730002E-01,8.7981187E-02,lawn_grass,,,,
5.693E-01,8.5496083E-02,lawn_grass,,,,
5.7129997E-01,8.1969842E-02,lawn_grass,,,,
5.733E-01,7.8915484E-02,lawn_grass,,,,
5.7529998E-01,7.6422609E-02,lawn_grass,,,,
5.7730001E-01,7.389202E-02,lawn_grass,,,,
5.7929999E-01,7.2868958E-02,lawn_grass,,,,
5.8129996E-01,7.1452066E-02,lawn_grass,,,,
5.8329999E-01,6.8411618E-02,lawn_grass,,,,
5.8529997E-01,6.705828E-02,lawn_grass,,,,
5.873E-01,6.7661427E-02,lawn_grass,,,,
5.8929998E-01,6.678509E-02,lawn_grass,,,,
5.9130001E-01,6.4473532E-02,lawn_grass,,,,
5.9330004E-01,6.4557686E-02,lawn_grass,,,,
5.9530002E-01,6.3475408E-02,lawn_grass,,,,
5.9730005E-01,6.3069947E-02,lawn_grass,,,,
5.9930003E-01,6.3753538E-02,lawn_grass,,,,
6.0110003E-01,6.2866583E-02,lawn_grass,,,,
6.027E-01,6.2360693E-02,lawn_grass,,,,
6.0430002E-01,6.2589742E-02,lawn_grass,,,,
